address,lat,long
570 Mulberry St,32.837486,-83.627762
582 Mulberry St,32.837551,-83.627869
314 Second St,32.83744,-83.628113
332 Second St,32.837357,-83.62825
336 Second St,32.837341,-83.628296
350 Second St,32.837101,-83.628456
362 Second St,32.836941,-83.628502
370 Second St,32.836857,-83.628571
382 Second St,32.836727,-83.628677
396 Second St,32.836605,-83.628838
571 Cherry St,32.836433,-83.628525
563 Cherry St,32.836376,-83.628441
557 Cherry St,32.836327,-83.62838
551 Cherry St,32.836243,-83.628349
301 Walnut St,32.836636,-83.622398
183 Fifth St,32.835331,-83.623741
181 Fifth St,32.835331,-83.623741
179 Fifth St,32.835331,-83.623741
363 Mulberry St,32.835953,-83.624229
375 Mulberry St,32.836086,-83.624321
389 Mulberry St,32.836185,-83.624489
405 Mulberry St,32.83643,-83.625076
475 Mulberry St,32.836914,-83.625763
440 Walnut St,32.837673,-83.624428
544 Mulberry St,32.83736,-83.627502
524 Mulberry St,32.837162,-83.62722
520 Mulberry St,32.837139,-83.627182
502 Mulberry St,32.837105,-83.626961
321 Third St,32.836651,-83.627022
323 Third St,32.836639,-83.627037
327 Third St,32.836613,-83.62706
341 Third St,32.836498,-83.627106
501 Cherry St,32.83585,-83.627647
533 Cherry St,32.836109,-83.627968
543 Cherry St,32.836159,-83.62809
433 Cherry St,32.835144,-83.626335
415 Cherry St,32.835026,-83.626152
401 Cherry St,32.834877,-83.62606
375 Broadway,32.835129,-83.625801
357 Broadway,32.835236,-83.625565
353 College St,32.841858,-83.638039
373 College St,32.841496,-83.638184
389 College St,32.841194,-83.638306
397 College St,32.841038,-83.638351
1231 Jefferson Terr,32.841095,-83.639
512 Sapp St,32.825104,-83.670334
1261 Jefferson Terr,32.841213,-83.639351
1283 Jefferson Terr,32.841297,-83.63961
1291 Jefferson Terr,32.841331,-83.639709
380 Madison St,32.841869,-83.639603
1238 Jefferson Terr,32.840878,-83.639214
1256 Jefferson Terr,32.840946,-83.639427
1284 Jefferson Terr,32.841057,-83.639755
1290 Jefferson Terr,32.84108,-83.639824
1295 Georgia Ave,32.840908,-83.639801
1385 Georgia Ave,32.840816,-83.641846
1379 Georgia Ave,32.84082,-83.641724
495 Monroe St,32.840481,-83.642532
1502 Hardeman Ave,32.840546,-83.643654
1500 Hardeman Ave,32.840549,-83.643639
1458 Hardeman Ave,32.84029,-83.643181
511 Monroe St,32.840023,-83.642731
521 Monroe St,32.839924,-83.642776
535 Monroe St,32.839787,-83.642838
547 Monroe St,32.839664,-83.642883
557 Monroe St,32.839565,-83.642929
571 Monroe St,32.839428,-83.64299
611 Monroe St,32.838772,-83.643265
635 Monroe St,32.838528,-83.643364
645 Monroe St,32.838425,-83.643402
671 Monroe St,32.838158,-83.643509
695 Monroe St,32.837914,-83.643608
1435 Forsyth St,32.83799,-83.643768
1447 Forsyth St,32.838036,-83.643852
742 Monroe St,32.837246,-83.643547
1352 Hardeman Ave,32.839901,-83.641777
1348 Hardeman Ave,32.839848,-83.641541
550 Monroe St,32.839535,-83.642601
556 Monroe St,32.839474,-83.642632
566 Monroe St,32.839375,-83.64267
584 Monroe St,32.839195,-83.642754
596 Monroe St,32.839081,-83.642807
0 Monroe St,32.845058,-83.640121
567 Arlington Pl,32.838909,-83.641251
605 Arlington Pl,32.83823,-83.641556
623 Arlington Pl,32.838005,-83.641663
631 Arlington Pl,32.837906,-83.641708
645 Arlington Pl,32.83773,-83.641785
659 Arlington Pl,32.837555,-83.641869
669 Arlington Pl,32.837429,-83.641922
675 Arlington Pl,32.837353,-83.641953
685 Arlington Pl,32.837234,-83.642014
1395 Forsyth St,32.837704,-83.643303
1385 Forsyth St,32.837643,-83.643158
1375 Forsyth St,32.837566,-83.643028
688 Monroe St,32.837887,-83.64328
672 Monroe St,32.838051,-83.643219
656 Monroe St,32.838215,-83.64315
632 Monroe St,32.838463,-83.643051
608 Monroe St,32.838707,-83.642952
697 College St,32.836437,-83.640404
753 College St,32.835735,-83.641495
674 Arlington Pl,32.837257,-83.641655
664 Arlington Pl,32.837383,-83.641602
652 Arlington Pl,32.837532,-83.641533
640 Arlington Pl,32.837685,-83.641464
632 Arlington Pl,32.837784,-83.641418
626 Arlington Pl,32.837856,-83.64138
618 Arlington Pl,32.837959,-83.641335
608 Arlington Pl,32.838081,-83.641281
619 College St,32.837582,-83.639755
633 College St,32.83725,-83.639999
647 College St,32.837063,-83.640083
655 College St,32.836956,-83.640129
675 College St,32.8367,-83.640251
596 Arlington Pl,32.838509,-83.64109
584 Arlington Pl,32.838631,-83.641037
560 Arlington Pl,32.838875,-83.640923
546 Arlington Pl,32.83902,-83.640862
532 Arlington Pl,32.839161,-83.6408
1288 Hardeman Ave,32.839382,-83.640274
1274 Hardeman Ave,32.839333,-83.640106
1262 Hardeman Ave,32.839291,-83.639961
1246 Hardeman Ave,32.839237,-83.639771
1214 Hardeman Ave,32.839127,-83.639389
501 College St,32.839111,-83.639114
535 College St,32.838787,-83.639359
547 College St,32.838654,-83.639374
561 College St,32.838394,-83.639511
575 College St,32.838261,-83.63958
589 College St,32.838123,-83.639641
1180 Washington Ave,32.838943,-83.638741
562 College St,32.838287,-83.639229
578 College St,32.838131,-83.639297
596 College St,32.837975,-83.639435
618 College St,32.83757,-83.63961
597 Orange St,32.837177,-83.638451
626 College St,32.837265,-83.639648
638 College St,32.837093,-83.639725
644 College St,32.837013,-83.639763
660 College St,32.836796,-83.639862
676 College St,32.836575,-83.639969
695 Orange St,32.836021,-83.638947
643 Orange St,32.83667,-83.638725
635 Orange St,32.836754,-83.638725
619 Orange St,32.836903,-83.638664
1183 Georgia Ave,32.841003,-83.637924
372 College St,32.841408,-83.637886
1129 Georgia Ave,32.841061,-83.637299
1120 Georgia Ave,32.84074,-83.637215
417 Orange St,32.840603,-83.637123
423 Orange St,32.840515,-83.637154
437 Orange St,32.840313,-83.637238
441 Orange St,32.840252,-83.637253
469 Orange St,32.839794,-83.637459
1094 Georgia Ave,32.840775,-83.63652
408 Orange St,32.840637,-83.636772
416 Orange St,32.840519,-83.636818
424 Orange St,32.840405,-83.636864
432 Orange St,32.840286,-83.636909
440 Orange St,32.840172,-83.636948
1074 Georgia Ave,32.840782,-83.636162
460 Orange St,32.839771,-83.637123
468 Orange St,32.839695,-83.637154
472 Orange St,32.839657,-83.637177
478 Orange St,32.839596,-83.637207
1071 Magnolia St,32.839436,-83.636665
1063 Magnolia St,32.839428,-83.636543
1055 Magnolia St,32.83942,-83.636429
1047 Magnolia St,32.839413,-83.636307
1039 Magnolia St,32.839405,-83.636192
1031 Magnolia St,32.839397,-83.636078
1023 Magnolia St,32.83939,-83.635956
1015 Magnolia St,32.839382,-83.635841
1007 Magnolia St,32.839375,-83.635719
991 Magnolia St,32.839359,-83.63549
983 Magnolia St,32.839352,-83.635368
975 Magnolia St,32.839344,-83.635254
967 Magnolia St,32.839336,-83.635132
957 Magnolia St,32.839329,-83.634987
949 Magnolia St,32.839321,-83.634872
941 Magnolia St,32.839314,-83.63475
923 Magnolia St,32.839294,-83.634483
968 Cherry St,32.839523,-83.634186
974 Cherry St,32.839542,-83.634216
1088 Magnolia St,32.839256,-83.637299
1080 Magnolia St,32.839172,-83.636803
1066 Magnolia St,32.839161,-83.636604
1052 Magnolia St,32.839146,-83.636398
1042 Magnolia St,32.839138,-83.636253
1030 Magnolia St,32.839127,-83.636078
1018 Magnolia St,32.839115,-83.635902
1006 Magnolia St,32.839104,-83.635727
994 Magnolia St,32.839092,-83.635551
982 Magnolia St,32.839085,-83.635384
972 Magnolia St,32.839073,-83.635231
964 Magnolia St,32.839066,-83.635117
946 Magnolia St,32.83905,-83.634857
936 Magnolia St,32.839043,-83.634712
928 Magnolia St,32.839031,-83.634598
904 Magnolia St,32.839012,-83.634247
912 Magnolia St,32.83902,-83.634361
920 Magnolia St,32.839027,-83.634476
459 Spring St,32.838673,-83.634399
471 Spring St,32.838531,-83.634521
901 Washington Ave,32.838173,-83.635033
913 Washington Ave,32.838196,-83.635178
923 Washington Ave,32.838215,-83.635307
939 Washington Ave,32.838242,-83.635506
963 Washington Ave,32.838287,-83.635803
1003 Washington Ave,32.83836,-83.636307
1011 Washington Ave,32.838375,-83.636406
1027 Washington Ave,32.838406,-83.636604
1067 Washington Ave,32.838558,-83.637047
